,instant,date,season_type,year,month,hour,holiday_or_not,week_day,working_day,weather_sit,temperature,atemperature,humidity,windspeed,casual_user,registered_user,count
26,27,2011-01-02,1,0,1,2,0,0,0,2,0.46,0.46,1.1,0.3035,3,10,13
27,28,2011-01-02,1,0,1,3,0,0,0,2,0.51,0.49,1.03,0.2076,4,6,10
28,29,2011-01-02,1,0,1,4,0,0,0,2,0.51,0.49,1.03,0.2076,4,3,7
29,30,2011-01-02,1,0,1,6,0,0,0,3,0.46,0.46,0.85,0.3194,2,4,6
30,31,2011-01-02,1,0,1,7,0,0,0,2,0.44,0.44,0.84,0.2076,2,3,5
31,32,2011-01-02,1,0,1,8,0,0,0,3,0.44,0.44,0.78,0.2396,2,10,12
32,33,2011-01-02,1,0,1,9,0,0,0,2,0.42,0.43,0.84,0.2396,3,21,24
33,34,2011-01-02,1,0,1,10,0,0,0,2,0.4,0.38,0.89,0.2396,9,48,57
34,35,2011-01-02,1,0,1,11,0,0,0,2,0.4,0.36,0.78,0.2715,18,56,74
35,36,2011-01-02,1,0,1,12,0,0,0,2,0.4,0.36,0.73,0.3194,22,75,97
36,37,2011-01-02,1,0,1,13,0,0,0,2,0.4,0.38,0.73,0.1437,13,66,79
37,38,2011-01-02,1,0,1,14,0,0,0,3,0.4,0.38,0.84,0.2076,6,57,63
38,39,2011-01-02,1,0,1,15,0,0,0,3,0.37,0.36,0.89,0.1757,21,57,78
39,40,2011-01-02,1,0,1,16,0,0,0,3,0.37,0.36,0.78,0.1757,11,69,80
40,41,2011-01-02,1,0,1,17,0,0,0,1,0.37,0.36,0.63,0.2076,9,60,69
41,42,2011-01-02,1,0,1,18,0,0,0,2,0.4,0.36,0.51,0.3514,12,45,57
42,43,2011-01-02,1,0,1,19,0,0,0,1,0.35,0.31,0.46,0.4791,3,31,34
43,44,2011-01-02,1,0,1,20,0,0,0,1,0.33,0.29,0.43,0.3833,7,19,26
44,45,2011-01-02,1,0,1,21,0,0,0,1,0.29,0.25,0.48,0.3514,13,22,35
45,46,2011-01-02,1,0,1,22,0,0,0,1,0.26,0.23,0.48,0.3194,2,11,13
46,47,2011-01-02,1,0,1,23,0,0,0,1,0.24,0.25,0.52,0.1757,2,10,12
47,48,2011-01-03,1,0,1,0,0,1,1,1,0.24,0.21,0.48,0.3833,2,7,9
48,49,2011-01-03,1,0,1,1,0,1,1,1,0.22,0.18,0.48,0.4472,2,4,6
49,50,2011-01-03,1,0,1,4,0,1,1,1,0.18,0.15,0.52,0.4153,2,3,5
50,51,2011-01-03,1,0,1,5,0,1,1,1,0.18,0.15,0.52,0.3035,2,5,7
51,52,2011-01-03,1,0,1,6,0,1,1,1,0.15,0.11,0.55,0.4153,2,32,34
52,53,2011-01-03,1,0,1,7,0,1,1,1,0.15,0.15,0.55,0.2076,3,65,68
53,54,2011-01-03,1,0,1,8,0,1,1,1,0.15,0.13,0.55,0.3035,3,155,158
54,55,2011-01-03,1,0,1,9,0,1,1,1,0.18,0.15,0.47,0.4153,9,83,92
55,56,2011-01-03,1,0,1,10,0,1,1,1,0.2,0.18,0.47,0.2715,13,35,48
56,57,2011-01-03,1,0,1,11,0,1,1,1,0.22,0.2,0.44,0.3514,12,43,55
57,58,2011-01-03,1,0,1,12,0,1,1,1,0.24,0.23,0.38,0.3194,15,50,65
58,59,2011-01-03,1,0,1,13,0,1,1,1,0.26,0.23,0.38,0.3035,10,55,65
59,60,2011-01-03,1,0,1,14,0,1,1,1,0.29,0.26,0.33,0.3035,13,68,81
60,61,2011-01-03,1,0,1,15,0,1,1,1,0.29,0.26,0.33,0.2715,16,60,76
61,62,2011-01-03,1,0,1,16,0,1,1,1,0.29,0.26,0.33,0.2715,11,69,80
62,63,2011-01-03,1,0,1,17,0,1,1,1,0.26,0.25,0.33,0.2396,13,148,161
63,64,2011-01-03,1,0,1,18,0,1,1,1,0.26,0.28,0.35,0.1118,11,150,161
64,65,2011-01-03,1,0,1,19,0,1,1,1,0.22,0.28,0.52,0.0,10,104,114
65,66,2011-01-03,1,0,1,20,0,1,1,1,0.22,0.25,0.52,0.1118,5,51,56
66,67,2011-01-03,1,0,1,21,0,1,1,1,0.2,0.21,0.7,0.1437,5,51,56
67,68,2011-01-03,1,0,1,22,0,1,1,1,0.15,0.16,0.76,0.1437,2,22,24
68,69,2011-01-03,1,0,1,23,0,1,1,1,0.2,0.23,0.61,0.1118,3,13,16
69,70,2011-01-04,1,0,1,0,0,2,1,1,0.18,0.2,0.61,0.1118,2,7,9
70,71,2011-01-04,1,0,1,1,0,2,1,1,0.18,0.2,0.65,0.1118,2,4,6
71,72,2011-01-04,1,0,1,2,0,2,1,1,0.15,0.16,0.69,0.1437,2,3,5
72,73,2011-01-04,1,0,1,4,0,2,1,1,0.15,0.2,0.69,0.0959,2,4,6
73,74,2011-01-04,1,0,1,5,0,2,1,1,0.13,0.16,0.75,0.1118,2,6,8
74,75,2011-01-04,1,0,1,6,0,2,1,1,0.13,0.16,0.81,0.1118,2,38,40
75,76,2011-01-04,1,0,1,7,0,2,1,1,0.13,0.16,0.81,0.1437,4,94,98
76,77,2011-01-04,1,0,1,8,0,2,1,1,0.15,0.16,0.76,0.1757,4,179,183
77,78,2011-01-04,1,0,1,9,0,2,1,1,0.18,0.16,0.7,0.2396,4,100,104
78,79,2011-01-04,1,0,1,10,0,2,1,2,0.18,0.15,0.76,0.3514,7,39,46
79,80,2011-01-04,1,0,1,11,0,2,1,1,0.24,0.23,0.56,0.3194,9,52,61
80,81,2011-01-04,1,0,1,12,0,2,1,1,0.24,0.25,0.56,0.1757,14,68,82
81,82,2011-01-04,1,0,1,13,0,2,1,1,0.26,0.25,0.62,0.2076,20,81,101
82,83,2011-01-04,1,0,1,14,0,2,1,1,0.29,0.28,0.57,0.2396,11,56,67
83,84,2011-01-04,1,0,1,15,0,2,1,1,0.31,0.29,0.57,0.2715,19,50,69
84,85,2011-01-04,1,0,1,16,0,2,1,1,0.33,0.31,0.54,0.2715,17,70,87
85,86,2011-01-04,1,0,1,17,0,2,1,1,0.31,0.29,0.53,0.2396,12,204,216
86,87,2011-01-04,1,0,1,18,0,2,1,1,0.29,0.28,0.53,0.2076,5,181,186
87,88,2011-01-04,1,0,1,19,0,2,1,1,0.26,0.28,0.53,0.1118,4,112,116
88,89,2011-01-04,1,0,1,20,0,2,1,1,0.26,0.28,0.53,0.1118,3,55,58
89,90,2011-01-04,1,0,1,21,0,2,1,1,0.24,0.29,0.7,0.0,2,50,52
90,91,2011-01-04,1,0,1,22,0,2,1,1,0.24,0.28,0.7,0.0959,3,36,39
91,92,2011-01-04,1,0,1,23,0,2,1,1,0.22,0.25,0.76,0.0959,4,11,15
92,93,2011-01-05,1,0,1,0,0,3,1,1,0.22,0.28,0.7,0.0,2,8,10
93,94,2011-01-05,1,0,1,1,0,3,1,1,0.18,0.21,0.81,0.0959,2,8,10
94,95,2011-01-05,1,0,1,2,0,3,1,1,0.18,0.21,0.81,0.0959,2,4,6
95,96,2011-01-05,1,0,1,4,0,3,1,1,0.26,0.25,0.53,0.2396,2,4,6
96,97,2011-01-05,1,0,1,5,0,3,1,1,0.24,0.25,0.52,0.1757,2,5,7
97,98,2011-01-05,1,0,1,6,0,3,1,1,0.22,0.21,0.52,0.2396,2,35,37
98,99,2011-01-05,1,0,1,7,0,3,1,1,0.2,0.2,0.47,0.2076,3,89,92
99,100,2011-01-05,1,0,1,8,0,3,1,1,0.22,0.2,0.44,0.3194,5,194,199
100,101,2011-01-05,1,0,1,9,0,3,1,1,0.24,0.21,0.41,0.3514,8,111,119
101,102,2011-01-05,1,0,1,10,0,3,1,1,0.24,0.21,0.41,0.3514,6,55,61
102,103,2011-01-05,1,0,1,11,0,3,1,1,0.29,0.25,0.36,0.3514,14,36,50
103,104,2011-01-05,1,0,1,12,0,3,1,1,0.29,0.25,0.36,0.3514,7,76,83
104,105,2011-01-05,1,0,1,13,0,3,1,1,0.31,0.28,0.33,0.3194,8,67,75
105,106,2011-01-05,1,0,1,14,0,3,1,1,0.33,0.31,0.31,0.2076,12,54,66
106,107,2011-01-05,1,0,1,15,0,3,1,1,0.33,0.31,0.31,0.2076,9,57,66
107,108,2011-01-05,1,0,1,16,0,3,1,1,0.33,0.34,0.31,0.0959,6,87,93
108,109,2011-01-05,1,0,1,17,0,3,1,1,0.26,0.25,0.42,0.2076,6,188,194
109,110,2011-01-05,1,0,1,18,0,3,1,1,0.26,0.26,0.42,0.1437,5,168,173
110,111,2011-01-05,1,0,1,19,0,3,1,1,0.26,0.28,0.42,0.1118,7,129,136
111,112,2011-01-05,1,0,1,20,0,3,1,1,0.24,0.25,0.52,0.1757,9,84,93
112,113,2011-01-05,1,0,1,21,0,3,1,1,0.22,0.21,0.56,0.2076,5,42,47
113,114,2011-01-05,1,0,1,22,0,3,1,1,0.2,0.21,0.61,0.1437,3,43,46
114,115,2011-01-05,1,0,1,23,0,3,1,1,0.22,0.28,0.52,0.0,3,20,23
115,116,2011-01-06,1,0,1,0,0,4,1,1,0.2,0.26,0.61,0.0,2,13,15
116,117,2011-01-06,1,0,1,1,0,4,1,1,0.18,0.25,0.7,0.0,2,6,8
117,118,2011-01-06,1,0,1,2,0,4,1,1,0.18,0.25,0.7,0.0,2,4,6
118,119,2011-01-06,1,0,1,4,0,4,1,2,0.18,0.21,0.7,0.0959,2,3,5
119,120,2011-01-06,1,0,1,5,0,4,1,2,0.15,0.2,0.76,0.0959,2,6,8
120,121,2011-01-06,1,0,1,6,0,4,1,2,0.15,0.18,0.69,0.1118,2,38,40
121,122,2011-01-06,1,0,1,7,0,4,1,2,0.18,0.25,0.65,0.0,2,97,99
122,123,2011-01-06,1,0,1,8,0,4,1,1,0.18,0.25,0.65,0.0,5,218,223
123,124,2011-01-06,1,0,1,9,0,4,1,2,0.2,0.26,0.56,0.0,8,118,126
124,125,2011-01-06,1,0,1,10,0,4,1,1,0.22,0.28,0.52,0.0,5,44,49
125,126,2011-01-06,1,0,1,11,0,4,1,1,0.24,0.28,0.48,0.0959,4,59,63
126,127,2011-01-06,1,0,1,12,0,4,1,1,0.29,0.31,0.38,0.0,8,80,88
127,128,2011-01-06,1,0,1,13,0,4,1,1,0.29,0.29,0.38,0.1118,14,57,71
128,129,2011-01-06,1,0,1,14,0,4,1,1,0.31,0.29,0.4,0.1757,13,61,74
129,130,2011-01-06,1,0,1,15,0,4,1,1,0.31,0.29,0.4,0.0,10,56,66
130,131,2011-01-06,1,0,1,16,0,4,1,1,0.29,0.28,0.42,0.1757,14,76,90
131,132,2011-01-06,1,0,1,17,0,4,1,1,0.24,0.25,0.56,0.1757,11,165,176
132,133,2011-01-06,1,0,1,18,0,4,1,1,0.24,0.25,0.56,0.1437,7,160,167
133,134,2011-01-06,1,0,1,19,0,4,1,1,0.24,0.28,0.61,0.0959,5,111,116
134,135,2011-01-06,1,0,1,20,0,4,1,1,0.22,0.23,0.56,0.1757,5,68,73
135,136,2011-01-06,1,0,1,21,0,4,1,2,0.24,0.23,0.61,0.2396,2,50,52
136,137,2011-01-06,1,0,1,22,0,4,1,2,0.24,0.23,0.56,0.3035,3,53,56
137,138,2011-01-06,1,0,1,23,0,4,1,2,0.22,0.21,0.65,0.2076,6,21,27
138,139,2011-01-07,1,0,1,0,0,5,1,2,0.22,0.21,0.7,0.2076,6,15,21
139,140,2011-01-07,1,0,1,1,0,5,1,2,0.22,0.21,0.76,0.2396,4,7,11
140,141,2011-01-07,1,0,1,2,0,5,1,2,0.22,0.21,0.76,0.2396,2,3,5
141,142,2011-01-07,1,0,1,4,0,5,1,2,0.22,0.23,0.76,0.1437,2,3,5
142,143,2011-01-07,1,0,1,5,0,5,1,3,0.24,0.29,0.61,0.0,2,7,9
143,144,2011-01-07,1,0,1,6,0,5,1,2,0.22,0.28,0.76,0.0,10,28,38
144,145,2011-01-07,1,0,1,7,0,5,1,1,0.22,0.23,0.76,0.1437,10,78,88
145,146,2011-01-07,1,0,1,8,0,5,1,1,0.22,0.21,0.56,0.2715,22,192,214
146,147,2011-01-07,1,0,1,9,0,5,1,1,0.22,0.2,0.52,0.3194,11,127,138
147,148,2011-01-07,1,0,1,10,0,5,1,1,0.24,0.21,0.41,0.3514,18,49,67
148,149,2011-01-07,1,0,1,11,0,5,1,2,0.22,0.21,0.44,0.2396,21,50,71
149,150,2011-01-07,1,0,1,12,0,5,1,2,0.22,0.21,0.41,0.2715,11,52,63
150,151,2011-01-07,1,0,1,13,0,5,1,2,0.22,0.2,0.41,0.3035,11,66,77
151,152,2011-01-07,1,0,1,14,0,5,1,2,0.22,0.21,0.44,0.2715,9,45,54
152,153,2011-01-07,1,0,1,15,0,5,1,2,0.22,0.23,0.41,0.1757,11,65,76
153,154,2011-01-07,1,0,1,16,0,5,1,2,0.22,0.23,0.41,0.1757,7,84,91
154,155,2011-01-07,1,0,1,17,0,5,1,2,0.22,0.28,0.41,0.0,11,180,191
155,156,2011-01-07,1,0,1,18,0,5,1,1,0.22,0.25,0.44,0.0959,9,118,127
156,157,2011-01-07,1,0,1,19,0,5,1,1,0.18,0.21,0.61,0.0959,5,94,99
157,158,2011-01-07,1,0,1,20,0,5,1,1,0.2,0.23,0.52,0.1118,3,52,55
158,159,2011-01-07,1,0,1,21,0,5,1,1,0.2,0.21,0.52,0.1437,2,41,43
159,160,2011-01-07,1,0,1,22,0,5,1,2,0.2,0.21,0.47,0.1757,4,36,40
160,161,2011-01-07,1,0,1,23,0,5,1,2,0.2,0.21,0.56,0.1757,3,16,19
161,162,2011-01-08,1,0,1,0,0,6,0,2,0.2,0.21,0.56,0.1757,3,26,29
162,163,2011-01-08,1,0,1,1,0,6,0,2,0.2,0.23,0.61,0.0959,3,17,20
163,164,2011-01-08,1,0,1,2,0,6,0,2,0.2,0.26,0.61,0.0,5,15,20
164,165,2011-01-08,1,0,1,3,0,6,0,3,0.2,0.21,0.61,0.1757,2,9,11
165,166,2011-01-08,1,0,1,4,0,6,0,3,0.2,0.21,0.61,0.1757,2,3,5
166,167,2011-01-08,1,0,1,5,0,6,0,2,0.18,0.18,0.81,0.1757,2,7,9
167,168,2011-01-08,1,0,1,6,0,6,0,2,0.18,0.18,0.81,0.1757,2,4,6
168,169,2011-01-08,1,0,1,7,0,6,0,2,0.18,0.2,0.81,0.1118,3,10,13
169,170,2011-01-08,1,0,1,8,0,6,0,3,0.18,0.2,1.02,0.1118,2,17,19
170,171,2011-01-08,1,0,1,9,0,6,0,3,0.18,0.2,1.02,0.1118,2,22,24
171,172,2011-01-08,1,0,1,10,0,6,0,2,0.2,0.21,0.88,0.1757,7,58,65
172,173,2011-01-08,1,0,1,11,0,6,0,2,0.22,0.2,0.76,0.4153,4,62,66
173,174,2011-01-08,1,0,1,12,0,6,0,2,0.22,0.2,0.65,0.3833,10,92,102
174,175,2011-01-08,1,0,1,13,0,6,0,1,0.22,0.2,0.48,0.3514,9,97,106
175,176,2011-01-08,1,0,1,14,0,6,0,1,0.22,0.18,0.35,0.527,14,85,99
176,177,2011-01-08,1,0,1,15,0,6,0,1,0.22,0.18,0.35,0.4791,7,71,78
177,178,2011-01-08,1,0,1,16,0,6,0,1,0.2,0.15,0.32,0.4791,10,70,80
178,179,2011-01-08,1,0,1,17,0,6,0,1,0.18,0.13,0.41,0.5909,7,66,73
179,180,2011-01-08,1,0,1,18,0,6,0,1,0.15,0.13,0.43,0.3194,5,54,59
180,181,2011-01-08,1,0,1,19,0,6,0,1,0.15,0.13,0.4,0.2715,6,28,34
181,182,2011-01-08,1,0,1,20,0,6,0,1,0.13,0.13,0.4,0.2715,2,30,32
182,183,2011-01-08,1,0,1,21,0,6,0,1,0.13,0.11,0.43,0.3833,4,37,41
183,184,2011-01-08,1,0,1,22,0,6,0,1,0.13,0.11,0.4,0.4153,3,35,38
184,185,2011-01-08,1,0,1,23,0,6,0,1,0.11,0.07,0.43,0.4791,2,24,26
185,186,2011-01-09,1,0,1,0,0,0,0,1,0.11,0.08,0.46,0.4153,3,26,29
186,187,2011-01-09,1,0,1,1,0,0,0,1,0.11,0.07,0.46,0.4951,2,14,16
187,188,2011-01-09,1,0,1,2,0,0,0,1,0.11,0.07,0.51,0.4951,2,13,15
188,189,2011-01-09,1,0,1,3,0,0,0,1,0.11,0.08,0.51,0.4472,2,6,8
189,190,2011-01-09,1,0,1,4,0,0,0,1,0.09,0.1,0.58,0.2076,2,3,5
190,191,2011-01-09,1,0,1,5,0,0,0,1,0.09,0.1,0.58,0.2076,2,3,5
191,192,2011-01-09,1,0,1,6,0,0,0,1,0.11,0.1,0.54,0.3035,2,3,5
192,193,2011-01-09,1,0,1,7,0,0,0,1,0.09,0.1,0.58,0.2076,3,7,10
193,194,2011-01-09,1,0,1,8,0,0,0,1,0.11,0.1,0.54,0.3035,2,12,14
194,195,2011-01-09,1,0,1,9,0,0,0,1,0.13,0.08,0.51,0.559,2,21,23
195,196,2011-01-09,1,0,1,10,0,0,0,1,0.15,0.11,0.47,0.4153,2,51,53
196,197,2011-01-09,1,0,1,11,0,0,0,1,0.18,0.13,0.44,0.559,4,49,53
197,198,2011-01-09,1,0,1,12,0,0,0,1,0.2,0.15,0.41,0.4791,6,81,87
198,199,2011-01-09,1,0,1,13,0,0,0,1,0.22,0.18,0.37,0.4791,8,71,79
199,200,2011-01-09,1,0,1,14,0,0,0,1,0.24,0.2,0.35,0.4951,10,66,76
200,201,2011-01-09,1,0,1,15,0,0,0,1,0.24,0.21,0.38,0.3833,7,79,86
201,202,2011-01-09,1,0,1,16,0,0,0,1,0.22,0.18,0.37,0.4791,15,81,96
202,203,2011-01-09,1,0,1,17,0,0,0,1,0.2,0.16,0.41,0.4153,5,61,66
203,204,2011-01-09,1,0,1,18,0,0,0,1,0.18,0.15,0.44,0.3514,6,46,52
204,205,2011-01-09,1,0,1,19,0,0,0,1,0.18,0.15,0.47,0.3514,3,42,45
205,206,2011-01-09,1,0,1,20,0,0,0,1,0.15,0.13,0.51,0.2715,2,40,42
206,207,2011-01-09,1,0,1,21,0,0,0,1,0.15,0.11,0.51,0.4472,3,21,24
207,208,2011-01-09,1,0,1,22,0,0,0,1,0.15,0.13,0.51,0.3194,7,12,19
208,209,2011-01-09,1,0,1,23,0,0,0,1,0.13,0.15,0.55,0.2076,2,8,10
209,210,2011-01-10,1,0,1,0,0,1,1,1,0.13,0.13,0.55,0.3035,4,5,9
210,211,2011-01-10,1,0,1,1,0,1,1,1,0.13,0.13,0.55,0.3035,3,2,5
211,212,2011-01-10,1,0,1,2,0,1,1,1,0.13,0.13,0.55,0.2396,2,5,7
212,213,2011-01-10,1,0,1,3,0,1,1,1,0.13,0.13,0.55,0.2396,2,3,5
213,214,2011-01-10,1,0,1,4,0,1,1,1,0.11,0.13,0.59,0.1437,3,4,7
214,215,2011-01-10,1,0,1,5,0,1,1,1,0.11,0.11,0.59,0.2715,2,5,7
215,216,2011-01-10,1,0,1,6,0,1,1,1,0.13,0.13,0.55,0.3035,2,33,35
216,217,2011-01-10,1,0,1,7,0,1,1,1,0.13,0.13,0.55,0.2396,4,77,81
217,218,2011-01-10,1,0,1,8,0,1,1,2,0.13,0.13,0.55,0.3035,6,186,192
218,219,2011-01-10,1,0,1,9,0,1,1,2,0.15,0.13,0.55,0.2715,4,94,98
219,220,2011-01-10,1,0,1,10,0,1,1,2,0.15,0.13,0.55,0.3194,2,33,35
220,221,2011-01-10,1,0,1,11,0,1,1,2,0.18,0.15,0.52,0.3035,4,30,34
221,222,2011-01-10,1,0,1,12,0,1,1,2,0.22,0.2,0.44,0.3035,7,49,56
222,223,2011-01-10,1,0,1,13,0,1,1,2,0.22,0.2,0.44,0.3035,6,52,58
223,224,2011-01-10,1,0,1,14,0,1,1,2,0.22,0.21,0.44,0.2396,2,49,51
224,225,2011-01-10,1,0,1,15,0,1,1,2,0.22,0.21,0.44,0.2396,4,45,49
225,226,2011-01-10,1,0,1,16,0,1,1,1,0.22,0.23,0.44,0.1437,6,72,78
226,227,2011-01-10,1,0,1,17,0,1,1,1,0.22,0.25,0.44,0.1118,6,176,182
227,228,2011-01-10,1,0,1,18,0,1,1,1,0.22,0.21,0.44,0.2396,3,156,159
228,229,2011-01-10,1,0,1,19,0,1,1,1,0.18,0.18,0.52,0.1757,5,94,99
229,230,2011-01-10,1,0,1,20,0,1,1,1,0.18,0.18,0.55,0.1757,3,75,78
230,231,2011-01-10,1,0,1,21,0,1,1,1,0.15,0.15,0.65,0.2076,3,39,42
231,232,2011-01-10,1,0,1,22,0,1,1,1,0.15,0.16,0.65,0.1757,4,24,28
232,233,2011-01-10,1,0,1,23,0,1,1,1,0.15,0.16,0.65,0.1757,2,20,22
233,234,2011-01-11,1,0,1,0,0,2,1,1,0.15,0.18,0.65,0.1118,4,12,16
234,235,2011-01-11,1,0,1,1,0,2,1,1,0.15,0.16,0.65,0.1757,2,5,7
235,236,2011-01-11,1,0,1,2,0,2,1,2,0.18,0.16,0.61,0.2076,2,5,7
236,237,2011-01-11,1,0,1,5,0,2,1,2,0.18,0.2,0.61,0.1437,2,8,10
237,238,2011-01-11,1,0,1,6,0,2,1,2,0.18,0.2,0.61,0.1437,2,29,31
238,239,2011-01-11,1,0,1,7,0,2,1,2,0.18,0.25,0.61,0.0,4,99,103
239,240,2011-01-11,1,0,1,8,0,2,1,2,0.2,0.23,0.56,0.0959,5,216,221
240,241,2011-01-11,1,0,1,9,0,2,1,2,0.2,0.21,0.56,0.1757,5,129,134
241,242,2011-01-11,1,0,1,10,0,2,1,2,0.22,0.23,0.56,0.1757,5,53,58
242,243,2011-01-11,1,0,1,11,0,2,1,2,0.22,0.23,0.52,0.1437,6,33,39
243,244,2011-01-11,1,0,1,12,0,2,1,2,0.22,0.25,0.56,0.1118,4,57,61
244,245,2011-01-11,1,0,1,13,0,2,1,2,0.22,0.25,0.65,0.0959,8,48,56
245,246,2011-01-11,1,0,1,14,0,2,1,2,0.22,0.25,0.65,0.0959,5,62,67
246,247,2011-01-11,1,0,1,15,0,2,1,2,0.18,0.21,0.88,0.0959,4,47,51
247,248,2011-01-11,1,0,1,16,0,2,1,2,0.18,0.16,0.95,0.2396,6,74,80
248,249,2011-01-11,1,0,1,17,0,2,1,2,0.18,0.16,0.95,0.2396,8,132,140
249,250,2011-01-11,1,0,1,18,0,2,1,3,0.18,0.2,1.02,0.1118,3,96,99
250,251,2011-01-11,1,0,1,19,0,2,1,3,0.18,0.25,1.02,0.0,2,53,55
251,252,2011-01-11,1,0,1,20,0,2,1,3,0.18,0.16,1.02,0.2076,2,34,36
252,253,2011-01-11,1,0,1,21,0,2,1,3,0.18,0.21,0.95,0.0959,2,22,24
253,254,2011-01-11,1,0,1,22,0,2,1,3,0.18,0.2,1.02,0.1118,3,30,33
254,255,2011-01-11,1,0,1,23,0,2,1,3,0.18,0.21,1.02,0.0959,3,20,23
255,256,2011-01-12,1,0,1,0,0,3,1,2,0.18,0.21,0.95,0.0959,2,9,11
256,257,2011-01-12,1,0,1,1,0,3,1,2,0.18,0.2,0.95,0.1118,2,8,10
257,258,2011-01-12,1,0,1,2,0,3,1,1,0.15,0.16,0.95,0.1437,2,3,5
258,259,2011-01-12,1,0,1,5,0,3,1,1,0.15,0.16,0.95,0.1757,2,7,9
259,260,2011-01-12,1,0,1,6,0,3,1,1,0.13,0.16,1.02,0.1437,2,18,20
260,261,2011-01-12,1,0,1,7,0,3,1,1,0.15,0.16,0.76,0.1437,2,56,58
261,262,2011-01-12,1,0,1,8,0,3,1,1,0.18,0.18,0.65,0.1757,5,127,132
262,263,2011-01-12,1,0,1,9,0,3,1,1,0.18,0.15,0.65,0.3514,5,80,85
263,264,2011-01-12,1,0,1,10,0,3,1,1,0.2,0.2,0.61,0.2396,2,41,43
264,265,2011-01-12,1,0,1,11,0,3,1,1,0.22,0.2,0.56,0.4153,5,34,39
265,266,2011-01-12,1,0,1,12,0,3,1,1,0.22,0.16,0.52,0.6228,5,54,59
266,267,2011-01-12,1,0,1,13,0,3,1,1,0.24,0.21,0.48,0.3833,2,51,53
267,268,2011-01-12,1,0,1,14,0,3,1,1,0.22,0.2,0.52,0.3514,2,46,48
268,269,2011-01-12,1,0,1,15,0,3,1,1,0.22,0.18,0.52,0.4472,3,50,53
269,270,2011-01-12,1,0,1,16,0,3,1,1,0.24,0.21,0.48,0.3514,7,65,72
270,271,2011-01-12,1,0,1,17,0,3,1,1,0.22,0.2,0.52,0.3833,2,141,143
271,272,2011-01-12,1,0,1,18,0,3,1,1,0.22,0.16,0.52,0.559,4,137,141
272,273,2011-01-12,1,0,1,19,0,3,1,1,0.2,0.16,0.52,0.4472,3,84,87
273,274,2011-01-12,1,0,1,20,0,3,1,1,0.18,0.15,0.55,0.3514,4,56,60
274,275,2011-01-12,1,0,1,21,0,3,1,1,0.18,0.15,0.61,0.3514,2,59,61
275,276,2011-01-12,1,0,1,22,0,3,1,1,0.18,0.13,0.61,0.4791,3,34,37
276,277,2011-01-12,1,0,1,23,0,3,1,1,0.15,0.11,0.65,0.4472,3,21,24
